candidate_id,rank,score,reasoning
CAND_0078002,31,0.6271,"Experience level: 6.2y as Machine Learning Engineer. Primary signals: recommendation systems background; embedding-based retrieval experience. Strong trajectory (5 domain signals). However, Note: strong signals but lower overall match confidence."
CAND_0008425,32,0.626,"Profile assessment: Senior NLP Engineer, 7.7y. Primary focus lies in BM25 hybrid search experience; Pinecone vector DB experience. Strong trajectory (5 domain signals). However, Note: strong signals but lower overall match confidence."
CAND_0006418,33,0.6259,Assessing Machine Learning Engineer at 5.6y tenure. Detected A/B testing and offline evaluation; production ML deployment. Gap: limited retrieval or vector search evidence in career text.
CAND_0076904,34,0.6123,Review of 4.1y Senior Data Scientist indicates core experience with BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (6 domain signals). Gap: no evaluation framework or production deployment evidence.
CAND_0075439,35,0.6121,Experience level: 4.2y as Machine Learning Engineer. Primary signals: recommendation systems background; Pinecone vector DB experience. Strong trajectory (6 domain signals). Gap: production ML deployment not evidenced in career text.
CAND_0091909,36,0.6019,"Evaluated Machine Learning Engineer (6.8 years). Core competencies: recommendation systems background; embedding-based retrieval experience. Strong trajectory (6 domain signals). However, Note: strong signals but lower overall match confidence."
CAND_0040887,37,0.6013,Overview: 4.6y of work as Machine Learning Engineer. Highlights comprise BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (7 domain signals). Gap: production ML deployment not evidenced in career text.
CAND_0089552,38,0.6005,Machine Learning Engineer evaluation (5.9 years). Identified expertise: recommendation systems background; Pinecone vector DB experience. Strong trajectory (6 domain signals). Gap: production ML deployment not evidenced in career text.
CAND_0044222,39,0.5979,"Evaluated AI Engineer (7.7 years). Core competencies: BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (5 domain signals). However, Note: strong signals but lower overall match confidence."
CAND_0061339,40,0.5978,"Review of 4.1y Search Engineer indicates core experience with recommendation systems background; embedding-based retrieval experience. Strong trajectory (5 domain signals). However, Note: strong signals but lower overall match confidence."
CAND_0061265,41,0.5949,Solid Recommendation Systems Engineer with a 6.5-year track record emphasizing BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (8 domain signals). Gap: evaluation framework experience (NDCG/MAP) not evidenced.
CAND_0080766,42,0.5948,"Details for Staff Machine Learning Engineer: 8.8 years active. Validated BM25 hybrid search experience; vector embedding pipeline experience. Strong trajectory (6 domain signals). However, Note: strong signals but lower overall match confidence."
CAND_0019159,43,0.59,A 6.0y ML Engineer demonstrating information retrieval background; offline evaluation framework experience. Gap: no vector database experience evidenced in career text.
CAND_0078492,44,0.5832,Details for Recommendation Systems Engineer: 5.1 years active. Validated recommendation systems background. Gap: no evaluation framework or production deployment evidence.
CAND_0086022,45,0.581,History of 5.2 years. The Senior Applied Scientist shows proficiency in BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (6 domain signals). Gap: production ML deployment not evidenced in career text.
CAND_0057563,46,0.5776,The candidate is a NLP Engineer with 6.7y experience. Key domain: BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (10 domain signals). Gap: production ML deployment not evidenced in career text.
CAND_0037944,47,0.5754,Details for Senior Data Scientist: 4.8 years active. Validated Pinecone vector DB experience; A/B testing and offline evaluation. Gap: limited direct retrieval system experience evidenced.
CAND_0057701,48,0.5753,Profile: Recommendation Systems Engineer with 4.1y experience. Notable strengths: recommendation systems background; A/B testing and offline evaluation. Gap: no vector database experience evidenced in career text.
CAND_0043228,49,0.5648,A 6.7y Applied ML Engineer demonstrating BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (7 domain signals). Gap: evaluation framework experience (NDCG/MAP) not evidenced.
CAND_0075249,50,0.5526,Applied ML Engineer evaluation (6.2 years). Identified expertise: BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (8 domain signals). Gap: production ML deployment not evidenced in career text.
CAND_0012957,51,0.5494,This Search Engineer brings 4.8 years of background. Focuses on recommendation systems background; embedding-based retrieval experience. Strong trajectory (6 domain signals). Gap: production ML deployment not evidenced in career text.
CAND_0054123,52,0.5492,Candidate possesses 4.6 years as Applied ML Engineer. Demonstrated abilities: BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (8 domain signals). Gap: production ML deployment not evidenced in career text.
CAND_0070485,53,0.5469,Review of 6.3y Search Engineer indicates core experience with BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (7 domain signals). Gap: no evaluation framework or production deployment evidence.
CAND_0093912,54,0.543,Professional background: Senior Data Scientist (5.2y). Noteworthy for BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (6 domain signals). Gap: no evaluation framework or production deployment evidence.
CAND_0093193,55,0.541,Candidate background features offline evaluation framework experience. Title is Senior Machine Learning Engineer (7.8 years). Gap: limited retrieval or vector search evidence in career text.
CAND_0072660,56,0.5359,Found Machine Learning Engineer (7.0y). Evidence of search ranking background; production ML environment experience is present. Strong trajectory (6 domain signals). Gap: no vector database experience evidenced in career text.
CAND_0098846,57,0.5326,"Evaluated AI Engineer (7.5 years). Core competencies: search ranking background; Pinecone vector DB experience. Strong trajectory (7 domain signals). However, Note: strong signals but lower overall match confidence."
CAND_0050876,58,0.53,Review of 5.9y Applied ML Engineer indicates core experience with recommendation systems background; embedding-based retrieval experience. Strong trajectory (5 domain signals). Gap: production ML deployment not evidenced in career text.
CAND_0053695,59,0.5251,"Inspecting 5.7y Recommendation Systems Engineer portfolio. Major strengths revolve around BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (8 domain signals). However, Note: strong signals but lower overall match confidence."
CAND_0064326,60,0.5242,"This Search Engineer brings 7.6 years of background. Focuses on search ranking background; Pinecone vector DB experience. Strong trajectory (6 domain signals). However, Note: strong signals but lower overall match confidence."
CAND_0011162,61,0.5239,History of 5.7 years. The Recommendation Systems Engineer shows proficiency in recommendation systems background; A/B testing and offline evaluation. Strong trajectory (6 domain signals). Gap: no vector database experience evidenced in career text.
CAND_0018549,62,0.518,Recommendation Systems Engineer evaluation (6.8 years). Identified expertise: recommendation systems background; embedding-based retrieval experience. Strong trajectory (6 domain signals). Gap: production ML deployment not evidenced in career text.
CAND_0049538,63,0.5142,Inspecting 5.7y Applied ML Engineer portfolio. Major strengths revolve around recommendation systems background; production ML environment experience. Strong trajectory (5 domain signals). Gap: no vector database experience evidenced in career text.
CAND_0056262,64,0.5135,Candidate background features recommendation systems background; offline evaluation framework experience. Title is Junior ML Engineer (5.9 years). Strong trajectory (6 domain signals). Gap: no vector database experience evidenced in career text.
CAND_0017960,65,0.508,"This Recommendation Systems Engineer brings 7.6 years of background. Focuses on recommendation systems background; Pinecone vector DB experience. Strong trajectory (6 domain signals). However, Note: strong signals but lower overall match confidence."
CAND_0003977,66,0.5077,Overview: 4.6y of work as Recommendation Systems Engineer. Highlights comprise BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (6 domain signals). Gap: no evaluation framework or production deployment evidence.
CAND_0014440,67,0.5075,A 6.3y Recommendation Systems Engineer demonstrating recommendation systems background; production ML environment experience. Strong trajectory (6 domain signals). Gap: no vector database experience evidenced in career text.
CAND_0050454,68,0.5069,A 6.8y AI Engineer demonstrating BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (7 domain signals). Gap: no evaluation framework or production deployment evidence.
CAND_0091534,69,0.5062,A 7.1y AI Engineer demonstrating BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (10 domain signals). Gap: production ML deployment not evidenced in career text.
CAND_0027801,70,0.5042,The candidate is a NLP Engineer with 7.2y experience. Key domain: BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (8 domain signals). Gap: evaluation framework experience (NDCG/MAP) not evidenced.
CAND_0000031,71,0.5036,"Reviewing this record: Recommendation Systems Engineer, 5.8y history. Key expertise includes recommendation systems background; A/B testing and offline evaluation. Strong trajectory (5 domain signals). Gap: no vector database experience evidenced in career text."
CAND_0049217,72,0.5034,Experience level: 5.8y as Computer Vision Engineer. Primary signals: recommendation systems background; production ML environment experience. Strong trajectory (6 domain signals). Gap: no vector database experience evidenced in career text.
CAND_0051292,73,0.5034,This Applied ML Engineer brings 5.0 years of background. Focuses on BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (8 domain signals). Gap: production ML deployment not evidenced in career text.
CAND_0036437,74,0.503,Professional background: Search Engineer (4.7y). Noteworthy for search ranking background; production ML environment experience. Strong trajectory (5 domain signals). Gap: no vector database experience evidenced in career text.
CAND_0006557,75,0.5027,Solid NLP Engineer with a 7.8-year track record emphasizing recommendation systems background; embedding-based retrieval experience. Strong trajectory (6 domain signals). Gap: production ML deployment not evidenced in career text.
CAND_0094759,76,0.5024,Review of 8.4y Lead AI Engineer indicates core experience with BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (7 domain signals). Gap: production ML deployment not evidenced in career text.
CAND_0011687,77,0.5022,"Senior NLP Engineer evaluation (7.7 years). Identified expertise: recommendation systems background; Pinecone vector DB experience. Strong trajectory (5 domain signals). However, Note: strong signals but lower overall match confidence."
CAND_0039498,78,0.4939,Profile: AI Specialist with 4.7y experience. Notable strengths: offline evaluation framework experience; production ML environment experience. Gap: limited retrieval or vector search evidence in career text.
CAND_0088438,79,0.4893,Record analysis for Senior Software Engineer (ML) (6.6y). Main capabilities: recommendation systems background; offline evaluation framework experience. Strong trajectory (6 domain signals). Gap: no vector database experience evidenced in career text.
CAND_0055992,80,0.4877,Candidate background features BM25 hybrid search experience; FAISS vector index experience. Title is AI Engineer (6.7 years). Strong trajectory (10 domain signals). Gap: production ML deployment not evidenced in career text.
CAND_0092278,81,0.4861,"Review of 6.7y Senior NLP Engineer indicates core experience with BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (8 domain signals). However, Note: strong signals but lower overall match confidence."
CAND_0033861,82,0.4834,"Details for Senior NLP Engineer: 7.9 years active. Validated BM25 hybrid search experience; vector embedding pipeline experience. Strong trajectory (7 domain signals). However, Note: strong signals but lower overall match confidence."
CAND_0039383,83,0.4798,"Applied ML Engineer evaluation (7.0 years). Identified expertise: BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (7 domain signals). However, Note: strong signals but lower overall match confidence."
CAND_0073633,84,0.4787,This ML Engineer brings 3.9 years of background. Focuses on recommendation systems background; production ML API/microservice deployment. Strong trajectory (5 domain signals). Gap: no vector database experience evidenced in career text.
CAND_0009024,85,0.4786,"Reviewing this record: Search Engineer, 5.1y history. Key expertise includes recommendation systems background; embedding-based retrieval experience. Strong trajectory (5 domain signals). Gap: production ML deployment not evidenced in career text."
CAND_0039754,86,0.4769,This Senior Applied Scientist brings 8.2 years of background. Focuses on BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (6 domain signals). Gap: production ML deployment not evidenced in career text.
CAND_0041568,87,0.4755,The candidate is a Search Engineer with 5.1y experience. Key domain: recommendation systems background; Pinecone vector DB experience. Strong trajectory (6 domain signals). Gap: production ML deployment not evidenced in career text.
CAND_0041669,88,0.4706,Candidate possesses 7.9 years as Recommendation Systems Engineer. Demonstrated abilities: recommendation systems background; Pinecone vector DB experience. Strong trajectory (7 domain signals). Gap: production ML deployment not evidenced in career text.
CAND_0041610,89,0.4681,"Found Recommendation Systems Engineer (6.6y). Evidence of recommendation systems background; Pinecone vector DB experience is present. Strong trajectory (8 domain signals). However, Note: strong signals but lower overall match confidence."
CAND_0025640,90,0.4655,Candidate background features recommendation systems background; production ML environment experience. Title is AI Research Engineer (5.5 years). Strong trajectory (5 domain signals). Gap: no vector database experience evidenced in career text.
CAND_0044855,91,0.464,Inspecting 6.5y Senior Data Scientist portfolio. Major strengths revolve around BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (10 domain signals). Gap: production ML deployment not evidenced in career text.
CAND_0058575,92,0.4618,"A 5.8-year AI Engineer. Career highlights showcase BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (7 domain signals). However, Note: strong signals but lower overall match confidence."
CAND_0024620,93,0.4591,Review of 5.8y AI Engineer indicates core experience with recommendation systems background; production ML environment experience. Strong trajectory (6 domain signals). Gap: no vector database experience evidenced in career text.
CAND_0036184,94,0.4587,Solid Recommendation Systems Engineer with a 5.9-year track record emphasizing BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (5 domain signals). Gap: no evaluation framework or production deployment evidence.
CAND_0084681,95,0.4587,Evaluated AI Specialist (3.4 years). Core competencies: recommendation systems background; production ML environment experience. Gap: no vector database experience evidenced in career text.
CAND_0068351,96,0.4561,Overview: 6.3y of work as Lead AI Engineer. Highlights comprise search ranking background; offline evaluation framework experience. Strong trajectory (5 domain signals). Gap: no vector database experience evidenced in career text.
CAND_0083879,97,0.4537,Candidate background features search ranking background; A/B testing and offline evaluation. Title is Machine Learning Engineer (7.0 years). Gap: no vector database experience evidenced in career text.
CAND_0081053,98,0.4524,"Candidate background features recommendation systems background; embedding-based retrieval experience. Title is NLP Engineer (5.3 years). Strong trajectory (7 domain signals). However, Note: strong signals but lower overall match confidence."
CAND_0099401,99,0.45,"Candidate possesses 7.5 years as NLP Engineer. Demonstrated abilities: recommendation systems background; embedding-based retrieval experience. Strong trajectory (7 domain signals). However, Note: strong signals but lower overall match confidence."
CAND_0061352,100,0.4496,Solid ML Engineer with a 3.5-year track record emphasizing recommendation systems background; offline evaluation framework experience. Strong trajectory (5 domain signals). Gap: no vector database experience evidenced in career text.
